0	Baseline	optimal	ZoomOut	Random	E-Greedy	Q-Learning	EG-Q-Learning	Sarsa	E-Greedy-Act-DO	E-Greedy-Int-DO	1-Hop Random	1-hop optimal	
253	1	2	1	1	1	2	2	1	1	1	1	2	
254	1	2	1	1	2	1	1	1	2	2	1	2	
255	1	2	1	2	2	1	1	2	2	2	2	2	
256	0	3	2	1	1	2	2	2	3	3	1	3	
257	0	3	3	2	3	3	3	1	3	3	2	3	
258	0	3	2	2	2	2	2	2	2	2	2	3	
259	1	2	1	1	2	2	2	2	2	1	1	2	
260	1	2	1	1	2	1	1	2	2	2	1	2	
261	2	2	1	1	1	2	2	1	1	1	1	2	
262	1	1	1	1	1	1	1	1	1	1	1	1	
263	1	2	1	1	1	1	1	1	1	1	1	2	
264	1	3	2	3	2	2	2	2	3	3	3	3	
265	0	3	2	0	2	2	2	2	2	2	1	3	
266	0	3	3	1	3	3	3	3	3	3	1	3	
267	0	2	2	1	1	1	1	2	2	2	1	2	
268	0	3	3	1	3	3	3	3	3	3	2	3	
269	0	3	2	1	2	2	2	2	3	3	2	3	
270	1	3	2	2	3	2	2	3	3	3	3	3	
271	1	2	1	1	1	2	2	1	1	1	1	2	
272	1	1	1	1	1	1	1	1	1	1	1	1	
273	1	2	1	1	1	2	2	1	1	1	1	2	
274	1	2	1	1	2	1	1	1	2	2	2	2	
275	1	2	1	1	2	1	1	2	2	1	1	2	
276	0	3	2	0	3	2	2	2	3	2	2	3	
277	0	3	3	1	3	3	3	2	3	3	1	3	
278	0	3	2	2	2	2	2	2	2	2	2	3	
279	1	2	1	1	2	2	2	1	2	2	1	2	
280	1	2	1	1	2	1	1	2	2	2	2	2	
281	2	2	1	1	1	2	2	1	2	2	1	2	
282	1	1	1	1	1	1	1	1	1	1	1	1	
283	1	2	1	1	1	1	1	1	1	1	1	2	
284	1	3	2	2	3	2	2	3	3	3	3	3	
285	0	3	2	1	3	2	2	2	2	3	1	3	
286	0	3	3	3	3	3	3	3	2	3	1	3	
287	0	2	2	2	2	1	1	2	1	2	2	2	
288	0	3	3	1	3	3	3	3	3	3	1	3	
289	0	3	2	2	2	2	2	2	3	2	1	3	
290	1	3	2	2	3	2	2	3	3	3	2	3	
291	1	2	1	1	1	2	2	1	1	1	1	2	
292	1	1	1	1	1	1	1	1	1	1	1	1	
293	1	2	1	1	1	2	2	1	1	1	1	2	
294	1	2	1	1	2	1	1	2	2	2	1	2	
295	1	2	1	1	2	1	1	2	2	2	1	2	
296	0	3	2	1	3	2	2	1	2	3	0	3	
297	0	3	3	1	3	3	3	3	3	3	1	3	
298	0	3	2	1	1	2	2	2	2	2	1	3	
299	1	2	1	1	2	2	2	1	2	1	1	2	
300	1	2	1	1	2	1	1	2	2	2	1	2	
