0	Baseline	optimal	ZoomOut	Random	E-Greedy	Q-Learning	EG-Q-Learning	Sarsa	E-Greedy-Act-DO	E-Greedy-Int-DO	1-Hop Random	1-hop optimal	
1	1	1	0	0	0	0	1	0	0	0	0	1	
2	1	1	1	1	0	1	1	0	0	0	0	1	
3	1	1	1	1	1	1	1	1	1	1	0	1	
4	1	1	1	1	1	1	1	1	1	1	1	1	
5	1	1	1	1	1	1	1	1	1	1	1	1	
6	1	1	1	1	1	1	1	1	1	1	1	1	
7	1	1	1	1	1	1	1	1	1	1	1	1	
8	1	3	1	1	1	1	2	1	1	1	2	3	
9	1	3	3	2	2	3	3	2	2	3	1	3	
10	1	3	3	2	3	3	3	3	3	2	2	3	
11	1	4	2	1	2	3	3	2	2	1	2	4	
12	0	3	3	2	2	3	3	2	3	3	3	3	
13	0	3	3	1	3	2	2	3	3	3	1	3	
14	1	3	1	1	1	3	3	1	1	1	1	3	
15	1	1	1	1	1	1	1	1	1	1	1	1	
16	1	1	1	1	1	1	1	1	1	1	1	1	
17	1	1	1	1	1	1	1	1	1	1	1	1	
18	1	3	1	1	1	1	1	1	1	1	2	3	
19	0	3	3	2	3	2	2	3	3	3	2	3	
20	0	3	3	2	3	3	3	3	3	3	2	3	
21	1	4	2	1	2	2	2	2	3	3	1	4	
22	1	3	3	1	3	3	3	3	3	3	1	3	
23	1	3	3	1	3	3	3	3	3	3	2	3	
24	1	3	1	1	2	3	3	2	1	2	2	3	
25	1	1	1	1	1	1	1	1	1	1	1	1	
26	1	1	1	1	1	1	1	1	1	1	1	1	
27	1	1	1	1	1	1	1	1	1	1	1	1	
28	1	1	1	1	1	1	1	1	1	1	1	1	
29	1	1	1	1	1	1	1	1	1	1	1	1	
30	1	1	1	0	1	1	1	1	1	1	0	1	
31	1	1	0	0	0	1	1	0	1	1	0	1	
32	1	1	1	0	1	1	1	1	1	1	0	1	
33	1	1	1	0	1	1	1	1	1	1	0	1	
34	1	1	1	1	1	1	1	1	1	1	1	1	
35	1	1	1	1	1	1	1	1	1	1	1	1	
36	1	1	1	1	1	1	1	1	1	1	1	1	
37	1	1	1	1	1	1	1	1	1	1	1	1	
38	1	3	1	1	1	1	1	2	1	3	1	3	
39	1	3	3	3	3	3	3	3	3	2	2	3	
40	1	3	3	2	1	3	3	1	2	2	2	3	
41	1	4	2	2	2	3	3	1	3	3	3	4	
42	0	3	3	0	3	3	3	3	3	3	0	3	
43	0	3	3	0	3	2	2	3	3	3	1	3	
44	1	3	1	1	2	3	3	1	1	2	1	3	
45	1	1	1	1	1	1	1	1	1	1	1	1	
46	1	1	1	1	1	1	1	1	1	1	1	1	
47	1	1	1	1	1	1	1	1	1	1	1	1	
48	1	3	1	1	2	1	1	2	2	1	2	3	
49	0	3	3	1	2	2	2	2	1	3	2	3	
50	0	3	3	1	3	3	3	3	2	3	2	3	
51	1	4	2	1	3	2	2	2	3	3	1	4	
52	1	3	3	2	2	3	3	2	2	2	2	3	
53	1	3	3	1	3	3	3	2	2	3	0	3	
54	1	3	1	1	2	3	3	2	2	2	2	3	
55	1	1	1	1	1	1	1	1	1	1	1	1	
56	1	1	1	1	1	1	1	1	1	1	1	1	
57	1	1	1	1	1	1	1	1	1	1	1	1	
58	1	1	1	1	1	1	1	1	1	1	1	1	
59	1	1	1	1	0	1	1	0	1	1	1	1	
60	1	1	1	1	1	1	1	1	1	1	1	1	
61	1	1	0	0	1	1	1	0	1	1	0	1	
62	1	1	1	1	1	1	1	1	1	1	1	1	
63	1	1	1	0	1	1	1	1	1	1	0	1	
64	1	1	1	1	1	1	1	1	1	1	1	1	
65	1	1	1	1	1	1	1	1	1	1	1	1	
66	1	1	1	1	1	1	1	1	1	1	1	1	
67	1	1	1	1	1	1	1	1	1	1	1	1	
68	1	3	1	1	2	1	1	1	3	2	1	3	
69	1	3	3	1	3	3	3	3	3	2	2	3	
70	1	3	3	2	3	3	3	3	3	3	2	3	
