0	Baseline	optimal	ZoomOut	Random	E-Greedy	Q-Learning	EG-Q-Learning	Sarsa	E-Greedy-Act-DO	E-Greedy-Int-DO	1-Hop Random	1-hop optimal	
71	1	4	2	1	4	3	3	3	2	4	2	4	
72	0	3	3	1	3	3	3	3	3	3	2	3	
73	0	3	3	2	3	2	2	3	3	3	2	3	
74	1	3	1	2	2	3	3	2	3	3	2	3	
75	1	1	1	1	1	1	1	1	1	1	1	1	
76	1	1	1	1	1	1	1	1	1	1	1	1	
77	1	1	1	1	1	1	1	1	1	1	1	1	
78	1	3	1	1	2	1	1	1	3	2	1	3	
79	0	3	3	2	3	2	2	3	3	3	2	3	
80	0	3	3	2	3	3	3	3	3	3	2	3	
81	1	4	2	2	4	2	2	2	4	4	3	4	
82	1	3	3	2	3	3	3	3	3	3	2	3	
83	1	3	3	1	3	3	3	3	3	3	2	3	
84	1	3	1	1	2	3	3	2	3	2	1	3	
85	1	1	1	1	1	1	1	1	1	1	1	1	
86	1	1	1	1	1	1	1	1	1	1	1	1	
87	1	1	1	1	1	1	1	1	1	1	1	1	
88	1	1	1	1	1	1	1	1	1	1	1	1	
89	1	1	1	1	1	1	1	0	1	0	0	1	
90	1	1	1	0	1	1	1	1	1	1	0	1	
91	1	1	0	1	0	1	1	1	0	1	1	1	
92	1	1	1	0	1	1	1	1	1	1	0	1	
93	1	1	1	0	1	1	1	1	1	1	0	1	
94	1	1	1	1	1	1	1	1	1	1	1	1	
95	1	1	1	1	1	1	1	1	1	1	1	1	
96	1	1	1	1	1	1	1	1	1	1	1	1	
97	1	1	1	1	1	1	1	1	1	1	1	1	
98	1	3	1	2	2	1	1	2	3	3	2	3	
99	1	3	3	2	3	3	3	3	3	3	2	3	
100	1	3	3	1	3	3	3	3	3	3	2	3	
101	1	4	2	1	4	3	3	3	4	4	2	4	
102	0	3	3	3	3	3	3	3	3	3	2	3	
103	0	3	3	2	2	2	2	3	3	2	2	3	
104	1	3	1	2	2	3	3	2	3	3	1	3	
105	1	1	1	1	1	1	1	1	1	1	1	1	
106	1	1	1	1	1	1	1	1	1	1	1	1	
107	1	1	1	1	1	1	1	1	1	1	1	1	
108	1	3	1	2	1	1	1	1	2	3	2	3	
109	0	3	3	2	2	2	2	3	3	3	3	3	
110	0	3	3	1	3	3	3	3	3	3	2	3	
111	1	4	2	2	4	2	2	2	4	4	3	4	
112	1	3	3	1	3	3	3	3	3	3	2	3	
113	1	3	3	1	3	3	3	3	3	3	1	3	
114	1	3	1	1	2	3	3	2	3	3	1	3	
115	1	1	1	1	1	1	1	1	1	1	1	1	
116	1	1	1	1	1	1	1	1	1	1	1	1	
117	1	1	1	1	1	1	1	1	1	1	1	1	
118	1	1	1	1	1	1	1	1	1	1	1	1	
119	1	1	1	0	1	1	1	1	1	1	0	1	
120	1	1	1	1	1	1	1	1	0	0	1	1	
121	1	1	0	0	0	1	1	1	1	1	0	1	
122	1	1	1	0	1	1	1	1	1	1	1	1	
123	1	1	1	1	1	1	1	1	1	1	1	1	
124	1	1	1	1	1	1	1	1	1	1	1	1	
125	1	1	1	1	1	1	1	1	1	1	1	1	
126	1	1	1	1	1	1	1	1	1	1	1	1	
127	1	1	1	1	1	1	1	1	1	1	1	1	
128	1	3	1	2	2	1	1	2	2	2	2	3	
129	1	3	3	1	3	3	3	3	3	3	2	3	
130	1	3	3	1	3	3	3	2	3	3	1	3	
131	1	4	2	3	3	3	3	1	3	3	3	4	
132	0	3	3	2	3	3	3	3	3	3	2	3	
133	0	3	3	1	3	2	2	3	3	3	2	3	
134	1	3	1	1	2	3	3	3	2	2	1	3	
135	1	1	1	1	1	1	1	1	1	1	1	1	
136	1	1	1	1	1	1	1	1	1	1	1	1	
137	1	1	1	1	1	1	1	1	1	1	1	1	
138	1	3	1	1	2	1	1	2	3	3	1	3	
139	0	3	3	1	3	2	2	2	3	3	1	3	
140	0	3	3	2	3	3	3	2	2	2	2	3	
141	1	4	2	1	4	2	2	2	4	4	2	4	
142	1	3	3	1	3	3	3	2	3	3	2	3	
143	1	3	3	2	3	3	3	3	3	3	3	3	
144	1	3	1	1	2	3	3	2	2	2	2	3	
145	1	1	1	1	1	1	1	1	1	1	1	1	
146	1	1	1	1	1	1	1	1	1	1	1	1	
147	1	1	1	1	1	1	1	1	1	1	1	1	
148	1	1	1	1	1	1	1	1	1	1	1	1	
149	1	1	1	0	1	1	1	1	1	1	0	1	
150	1	1	1	1	1	1	1	1	1	1	1	1	
151	1	1	0	1	1	1	1	1	1	1	1	1	
152	1	1	1	1	1	1	1	1	1	1	1	1	
153	1	1	1	1	0	1	1	0	1	1	1	1	
154	1	1	1	1	1	1	1	1	1	1	1	1	
155	1	1	1	1	1	1	1	1	1	1	1	1	
156	1	1	1	1	1	1	1	1	1	1	1	1	
157	1	1	1	1	1	1	1	1	1	1	1	1	
158	1	3	1	2	2	1	1	2	2	2	2	3	
159	1	3	3	1	3	3	3	3	3	3	1	3	
160	1	3	3	1	3	3	3	2	2	2	1	3	
161	1	4	2	2	3	3	3	2	3	3	2	4	
162	0	3	3	0	3	3	3	3	3	3	1	3	
163	0	3	3	2	2	2	2	2	3	3	2	3	
164	1	3	1	1	2	3	3	2	2	2	3	3	
165	1	1	1	1	1	1	1	1	1	1	1	1	
166	1	1	1	1	1	1	1	1	1	1	1	1	
167	1	1	1	1	1	1	1	1	1	1	1	1	
168	1	3	1	2	2	1	1	1	3	3	1	3	
169	0	3	3	2	2	2	2	3	2	2	2	3	
170	0	3	3	3	3	3	3	3	3	3	2	3	
171	1	4	2	3	3	2	2	2	4	4	1	4	
172	1	3	3	1	3	3	3	3	3	3	1	3	
173	1	3	3	1	2	3	3	2	3	3	1	3	
174	1	3	1	2	2	3	3	3	2	2	2	3	
175	1	1	1	1	1	1	1	1	1	1	1	1	
176	1	1	1	1	1	1	1	1	1	1	1	1	
177	1	1	1	1	1	1	1	1	1	1	1	1	
178	1	1	1	1	1	1	1	1	1	1	1	1	
179	1	1	1	1	0	1	1	1	1	1	1	1	
180	1	1	1	1	1	1	1	1	1	1	1	1	
181	1	1	0	1	1	1	1	1	1	1	0	1	
182	1	1	1	1	1	1	1	1	1	1	1	1	
183	1	1	1	1	1	1	1	1	0	0	1	1	
184	1	1	1	1	1	1	1	1	1	1	1	1	
185	1	1	1	1	1	1	1	1	1	1	1	1	
186	1	1	1	1	1	1	1	1	1	1	1	1	
187	1	1	1	1	1	1	1	1	1	1	1	1	
188	1	3	1	1	2	1	1	2	3	3	1	3	
189	1	3	3	2	3	3	3	3	3	3	3	3	
190	1	3	3	1	3	3	3	3	3	3	2	3	
191	1	4	2	2	4	3	3	3	4	4	2	4	
192	0	3	3	2	3	3	3	3	3	3	1	3	
193	0	3	3	0	3	2	2	3	3	3	1	3	
194	1	3	1	1	1	3	3	3	3	3	1	3	
195	1	1	1	1	1	1	1	1	1	1	1	1	
196	1	1	1	1	1	1	1	1	1	1	1	1	
197	1	1	1	1	1	1	1	1	1	1	1	1	
198	1	3	1	2	2	1	1	1	3	3	1	3	
199	0	3	3	2	3	2	2	3	3	3	1	3	
200	0	3	3	2	2	3	3	2	3	3	1	3	
201	1	4	2	0	3	2	2	3	3	3	1	4	
202	1	3	3	1	2	3	3	3	2	2	1	3	
203	1	3	3	2	3	3	3	3	2	2	3	3	
204	1	3	1	1	1	3	3	2	3	3	1	3	
205	1	1	1	1	1	1	1	1	1	1	1	1	
206	1	1	1	1	1	1	1	1	1	1	1	1	
207	1	1	1	1	1	1	1	1	1	1	1	1	
208	1	1	1	1	1	1	1	1	1	1	1	1	
209	1	1	1	1	1	1	1	1	1	1	1	1	
210	1	1	1	1	1	1	1	1	1	1	1	1	
211	1	1	0	0	1	1	1	1	1	1	0	1	
212	1	1	1	1	1	1	1	1	1	1	1	1	
213	1	1	1	1	1	1	1	1	1	1	1	1	
214	1	1	1	1	1	1	1	1	1	1	1	1	
215	1	1	1	1	1	1	1	1	1	1	1	1	
216	1	1	1	1	1	1	1	1	1	1	1	1	
217	1	1	1	1	1	1	1	1	1	1	1	1	
218	1	3	1	1	2	1	1	2	3	3	2	3	
219	1	3	3	2	3	3	3	3	3	3	2	3	
220	1	3	3	2	2	3	3	3	2	2	3	3	
221	1	4	2	3	3	3	3	3	3	3	2	4	
222	0	3	3	3	3	3	3	3	3	3	3	3	
223	0	3	3	2	3	2	2	3	3	3	2	3	
224	1	3	1	1	3	3	3	3	2	2	2	3	
225	1	1	1	1	1	1	1	1	1	1	1	1	
226	1	1	1	1	1	1	1	1	1	1	1	1	
227	1	1	1	1	1	1	1	1	1	1	1	1	
228	1	3	1	1	2	1	1	1	3	3	1	3	
229	0	3	3	1	3	2	2	3	3	3	1	3	
230	0	3	3	2	3	3	3	3	3	3	2	3	
231	1	4	2	3	3	2	2	3	3	3	2	4	
232	1	3	3	2	3	3	3	2	3	3	2	3	
233	1	3	3	0	3	3	3	3	3	3	2	3	
234	1	3	1	2	3	3	3	3	2	2	2	3	
235	1	1	1	1	1	1	1	1	1	1	1	1	
236	1	1	1	1	1	1	1	1	1	1	1	1	
237	1	1	1	1	1	1	1	1	1	1	1	1	
238	1	1	1	1	1	1	1	1	1	1	1	1	
239	1	1	1	1	1	1	1	1	1	1	1	1	
240	1	1	1	1	0	1	1	1	1	1	1	1	
241	1	1	0	1	1	1	1	1	1	1	1	1	
242	1	1	1	1	1	1	1	1	1	1	1	1	
243	1	1	1	1	1	1	1	1	0	0	1	1	
244	1	1	1	1	1	1	1	1	1	1	1	1	
245	1	1	1	1	1	1	1	1	1	1	1	1	
246	1	1	1	1	1	1	1	1	1	1	1	1	
247	1	1	1	1	1	1	1	1	1	1	1	1	
248	1	3	1	2	2	1	1	1	3	3	2	3	
249	1	3	3	2	3	3	3	2	2	2	2	3	
250	1	3	3	3	3	3	3	2	3	3	2	3	
251	1	4	2	1	4	3	3	2	4	4	1	4	
252	0	3	3	1	3	3	3	3	3	3	3	3	
253	0	3	3	2	2	2	2	3	2	2	2	3	
254	1	3	1	2	3	3	3	2	3	3	2	3	
255	1	1	1	1	1	1	1	1	1	1	1	1	
256	1	1	1	1	1	1	1	1	1	1	1	1	
257	1	1	1	1	1	1	1	1	1	1	1	1	
258	1	3	1	2	3	1	1	1	3	3	2	3	
259	0	3	3	2	3	2	2	3	2	2	2	3	
260	0	3	3	1	3	3	3	2	3	3	3	3	
261	1	4	2	2	3	2	2	2	3	3	2	4	
262	1	3	3	1	2	3	3	2	2	2	3	3	
263	1	3	3	0	3	3	3	3	3	3	0	3	
264	1	3	1	1	2	3	3	2	2	2	2	3	
265	1	1	1	1	1	1	1	1	1	1	1	1	
266	1	1	1	1	1	1	1	1	1	1	1	1	
267	1	1	1	1	1	1	1	1	1	1	1	1	
268	1	1	1	1	1	1	1	1	1	1	1	1	
269	1	1	1	0	1	1	1	1	1	1	0	1	
270	1	1	1	0	1	1	1	1	1	1	0	1	
271	1	1	0	0	1	1	1	1	1	1	0	1	
272	1	1	1	1	1	1	1	1	1	1	0	1	
273	1	1	1	1	1	1	1	1	1	1	0	1	
274	1	1	1	1	1	1	1	1	1	1	1	1	
275	1	1	1	1	1	1	1	1	1	1	1	1	
276	1	1	1	1	1	1	1	1	1	1	1	1	
277	1	1	1	1	1	1	1	1	1	1	1	1	
278	1	3	1	2	2	1	1	1	2	2	1	3	
279	1	3	3	2	2	3	3	2	3	3	1	3	
280	1	3	3	1	3	3	3	2	3	3	1	3	
281	1	4	2	2	4	3	3	3	4	4	2	4	
282	0	3	3	2	3	3	3	2	3	3	2	3	
283	0	3	3	1	3	2	2	2	3	3	2	3	
284	1	3	1	1	3	3	3	2	3	3	1	3	
285	1	1	1	1	1	1	1	1	1	1	1	1	
286	1	1	1	1	1	1	1	1	1	1	1	1	
287	1	1	1	1	1	1	1	1	1	1	1	1	
288	1	3	1	1	3	1	1	2	3	3	1	3	
289	0	3	3	2	3	2	2	3	2	2	2	3	
290	0	3	3	3	2	3	3	2	3	3	3	3	
291	1	4	2	1	4	2	2	3	4	4	0	4	
292	1	3	3	1	2	3	3	2	3	3	1	3	
293	1	3	3	0	3	3	3	3	2	2	2	3	
294	1	3	1	1	3	3	3	3	3	3	2	3	
295	1	1	1	1	1	1	1	1	1	1	1	1	
296	1	1	1	1	1	1	1	1	1	1	1	1	
297	1	1	1	1	1	1	1	1	1	1	1	1	
298	1	1	1	1	1	1	1	1	1	1	1	1	
299	1	1	1	0	1	1	1	1	1	1	0	1	
300	1	1	1	0	1	1	1	1	1	1	1	1	
